ID,"Product Name","Variant Name",Measurement,Package
126,"Martin Champagne 750ml","Pearly Bay Sweet White",750,Piece
127,"Martin Champagne 750ml","Pearly Bay Sweet Red",750,Piece
128,"Martin Champagne 750ml","Pearly Bay Sweet Rosé",750,Piece
129,"Martin Champagne 750ml","KWV Merlot",750,Piece
130,"Martin Champagne 750ml","KWV Chardonnay-Rosé",750,Piece
131,"Martin Champagne 750ml","Lions Hill Sweet Red",750,Piece
132,"Martin Champagne 750ml","Lions Hill Dry White",750,Piece
133,"Martin Champagne 750ml","Lions Hill Dry Red",750,Piece
134,"Martin Champagne 750ml","Lions Hill Sweet White",750,Piece
135,"Martin Champagne 750ml","Robertson Sweet Red 750ml",750,Piece
136,"Martin Champagne 750ml","Robertson Sweet White 750ml",750,Piece
137,"Martin Champagne 750ml","Nederburg Merlot 750ml",750,Piece
138,"Martin Champagne 750ml","Calvet Merlot 750ml",750,Piece
139,"Martin Champagne 750ml",image,250,Carton
140,"Martin Champagne 750ml","Dompo 750ml",750,Piece
141,"Martin Champagne 750ml","Dompo 375",375,Piece
142,"Martin Champagne 750ml","Calvet Merlot",750,Piece
143,"Martin Champagne 750ml","Alter wine",750,Piece
144,"Martin Champagne 750ml","Presidential noble",750,Piece
145,"Martin Champagne 750ml","Dodoma wine",5,Piece
146,"Martin Champagne 750ml","TZEE 750",750,Piece
147,"Martin Champagne 750ml","TZEE 200",200,Piece
148,"Hennessy VSOP 750ml","Amarula 1ltr",1,Piece
149,"Hennessy VSOP 750ml","Amarula 750",750,Piece
150,"Hennessy VSOP 750ml","Amarula 375",375,Piece
151,"Hennessy VSOP 750ml","Gilbeys Gin 750",750,Piece
152,"Hennessy VSOP 750ml","Captain Morgan 750",750,Piece
153,"Hennessy VSOP 750ml","Sminoff Vodika",250,Piece
154,"Hennessy VSOP 750ml","Gilbeys Gin 200",200,Piece
155,"Hennessy VSOP 750ml","Black label",200,Piece
156,"Hennessy VSOP 750ml","Red Label",200,Piece
157,"Hennessy VSOP 750ml","Chrome Gin smooth 750",750,Piece
158,"Hennessy VSOP 750ml","Chrome Gin vodika 750",750,Piece
159,"Hennessy VSOP 750ml","Captain Morgan 200",200,Piece
160,"Hennessy VSOP 750ml","Chrome Gin vodika 200",200,Piece
161,"Hennessy VSOP 750ml","Chrome Gin smooth 200",200,Piece
162,"Hennessy VSOP 750ml","Campari ndogo",200,Piece
163,"Hennessy VSOP 750ml","tanzanite 750",750,Piece
164,"Hennessy VSOP 750ml","Campari 1ltr tot",1,Piece
165,"Hennessy VSOP 750ml","Remmy Martin",750,Piece
166,"Hennessy VSOP 750ml","Glenfiddich 15yrs",700,Piece
167,"Martin Champagne 750ml","TZEE lemon and ginger",750,Piece
168,"Castle Lite","desperador beer",330,Outer
169,"Castle Lite","Savanna dry",330,Outer
170,"Castle Lite","Castle lite can",330,Outer
171,"Hennessy VSOP 750ml","Camino Tot",750,Piece
